target_id	length	eff_length	est_counts	tpm
TRINITY_DN4520_c0_g1_i1	585	409.883	40	9.29539
TRINITY_DN4541_c0_g1_i1	1472	1296.8	83	6.09638
TRINITY_DN4532_c0_g1_i1	248	88.9156	21	22.4962
TRINITY_DN4595_c0_g1_i1	355	183.181	9	4.67981
TRINITY_DN4595_c0_g2_i1	1371	1195.8	78	6.21302
TRINITY_DN4558_c0_g1_i1	314	145.396	8	5.24089
TRINITY_DN4539_c0_g1_i1	512	337.111	54	15.2576
TRINITY_DN4553_c0_g2_i1	823	647.801	100	14.7037
TRINITY_DN4553_c0_g1_i1	1312	1136.8	92	7.70851
TRINITY_DN4565_c0_g1_i1	277	112.645	7	5.91906
TRINITY_DN4504_c0_g2_i1	241	83.5269	1	1.14036
TRINITY_DN4504_c0_g1_i1	270	106.742	2	1.78469
TRINITY_DN4516_c0_g1_i1	1355	1179.8	126.175	10.1867
TRINITY_DN4516_c0_g1_i2	519	344.066	3.82455	1.05878
TRINITY_DN4510_c0_g2_i1	225	71.2688	7	9.35547
TRINITY_DN4510_c0_g1_i2	1492	1316.8	28.4852	2.06047
TRINITY_DN4510_c0_g1_i1	1548	1372.8	70.5148	4.8926
TRINITY_DN4571_c0_g1_i1	283	117.839	9	7.27478
TRINITY_DN4568_c0_g1_i1	572	396.896	37	8.87957
TRINITY_DN4502_c0_g1_i1	493	318.166	35	10.4781
TRINITY_DN4563_c0_g1_i1	451	276.562	12	4.13291
TRINITY_DN4563_c0_g1_i2	406	232.229	0	0
TRINITY_DN4509_c0_g1_i1	497	322.166	21	6.20878
TRINITY_DN4509_c0_g2_i1	803	627.801	42	6.37227
TRINITY_DN4555_c0_g1_i1	324	154.44	11	6.78421
TRINITY_DN4598_c0_g1_i1	213	62.7348	4	6.07321
TRINITY_DN4534_c0_g1_i1	549	373.96	27	6.8771
TRINITY_DN4534_c0_g2_i1	386	212.815	11	4.92332
TRINITY_DN4593_c0_g1_i1	3383	3207.8	857	25.4472
TRINITY_DN4547_c0_g1_i1	638	462.852	11	2.26369
TRINITY_DN4581_c0_g2_i1	204	56.6835	4	6.72157
TRINITY_DN4581_c0_g1_i1	425	250.858	10	3.79698
TRINITY_DN4526_c0_g1_i1	540	364.972	27	7.04646
TRINITY_DN4521_c0_g1_i1	842	666.801	123	17.5702
TRINITY_DN4586_c0_g2_i1	262	99.992	11	10.4784
TRINITY_DN4586_c0_g1_i1	1163	987.801	63	6.07489
TRINITY_DN4540_c0_g1_i1	699	523.836	9.79791	1.78158
TRINITY_DN4540_c0_g1_i2	569	393.909	17.2021	4.1596
TRINITY_DN4594_c0_g1_i1	316	147.205	6	3.88236
TRINITY_DN4594_c0_g2_i1	484	309.229	23	7.0846
TRINITY_DN4559_c0_g2_i1	877	701.801	50	6.78615
TRINITY_DN4559_c0_g1_i1	350	178.48	8	4.2694
TRINITY_DN4533_c0_g1_i1	347	175.606	16	8.67857
TRINITY_DN4552_c0_g1_i5	336	165.48	4.77285	2.74725
TRINITY_DN4552_c0_g1_i3	370	197.469	29.0221	13.999
TRINITY_DN4552_c0_g1_i1	370	197.469	77.4746	37.3703
TRINITY_DN4552_c0_g1_i4	370	197.469	41.7171	20.1225
TRINITY_DN4552_c0_g1_i2	204	56.6835	12.906	21.6871
TRINITY_DN4538_c0_g1_i1	423	248.933	12	4.59162
TRINITY_DN4564_c0_g1_i1	1228	1052.8	36.9241	3.34065
TRINITY_DN4564_c0_g1_i2	1388	1212.8	36.0759	2.83331
TRINITY_DN4505_c0_g2_i1	3879	3703.8	625	16.0731
TRINITY_DN4505_c0_g1_i2	1408	1232.8	56.5134	4.36642
TRINITY_DN4505_c0_g1_i1	1530	1354.8	129.487	9.10367
TRINITY_DN4576_c0_g1_i1	439	264.67	9	3.23895
TRINITY_DN4517_c0_g1_i1	328	158.052	7	4.21858
TRINITY_DN4511_c0_g1_i1	1110	934.801	226	23.028
TRINITY_DN4503_c0_g1_i1	392	218.613	18	7.84267
TRINITY_DN4503_c0_g2_i1	1105	929.801	64	6.55627
TRINITY_DN4508_c0_g1_i1	960	784.801	45	5.4616
TRINITY_DN4562_c0_g2_i1	596	420.883	12	2.71573
TRINITY_DN4562_c0_g3_i1	320	150.807	8	5.05285
TRINITY_DN4562_c0_g1_i1	239	81.9602	0	0
TRINITY_DN4554_c0_g1_i1	607	431.883	44	9.70407
TRINITY_DN4599_c0_g2_i1	682	506.836	40	7.51726
TRINITY_DN4599_c0_g1_i2	256	95.2038	6.14618	6.14919
TRINITY_DN4599_c0_g1_i1	254	93.628	10.8538	11.0419
TRINITY_DN4592_c0_g1_i1	3550	3374.8	800	22.5792
TRINITY_DN4535_c0_g1_i1	576	400.896	6.80011	1.61566
TRINITY_DN4535_c0_g1_i2	1311	1135.8	87.1999	7.31275
TRINITY_DN4546_c0_g1_i1	865	689.801	68	9.38971
TRINITY_DN4527_c0_g1_i1	273	109.281	9	7.84446
TRINITY_DN4527_c0_g2_i1	253	92.7899	3	3.07955
TRINITY_DN4580_c0_g3_i1	521	346.043	17	4.67935
TRINITY_DN4580_c0_g1_i1	472	297.371	20	6.40616
TRINITY_DN4580_c0_g2_i1	247	88.1512	12	12.9664
TRINITY_DN4543_c0_g1_i1	275	110.955	18	15.4522
TRINITY_DN4529_c0_g1_i1	543	367.96	44	11.3899
TRINITY_DN4529_c0_g2_i1	1044	868.801	96	10.5249
TRINITY_DN4548_c0_g1_i1	3230	3054.8	374	11.6615
TRINITY_DN4585_c1_g1_i6	261	99.2056	49.822	47.8357
TRINITY_DN4585_c1_g1_i16	278	113.461	15.5586	13.0615
TRINITY_DN4585_c1_g1_i8	266	103.388	22.5311	20.7577
TRINITY_DN4585_c1_g1_i10	232	76.4895	24.3504	30.3229
TRINITY_DN4585_c1_g1_i9	222	69.1046	100.537	138.575
TRINITY_DN4585_c1_g1_i5	232	76.4895	0	0
TRINITY_DN4585_c1_g1_i3	240	82.7428	14.2861	16.4456
TRINITY_DN4585_c1_g1_i1	232	76.4895	15.849	19.7363
TRINITY_DN4585_c1_g1_i13	232	76.4895	47.6995	59.399
TRINITY_DN4585_c1_g1_i11	289	123.042	0	0
TRINITY_DN4585_c1_g1_i17	228	73.4005	69.7048	90.4545
TRINITY_DN4585_c1_g1_i7	259	97.5893	0	0
TRINITY_DN4585_c1_g1_i14	221	68.3918	11.3557	15.8153
TRINITY_DN4585_c2_g1_i2	224	70.5131	18.8828	25.5072
TRINITY_DN4585_c2_g1_i1	234	78.02	26.5664	32.4335
TRINITY_DN4522_c0_g1_i1	280	115.205	12	9.92147
TRINITY_DN4551_c0_g2_i1	2530	2354.8	154	6.22922
TRINITY_DN4551_c0_g1_i1	1944	1768.8	137	7.37749
TRINITY_DN4530_c0_g1_i1	469	294.391	39	12.6185
TRINITY_DN4597_c0_g1_i2	415	241.056	18.2127	7.19654
TRINITY_DN4597_c0_g1_i1	367	194.673	11.7873	5.76732
TRINITY_DN4506_c0_g1_i1	702	526.836	20	3.61594
TRINITY_DN4567_c0_g1_i1	240	82.7428	5	5.75582
TRINITY_DN4514_c0_g1_i2	2422	2246.8	426	18.0598
TRINITY_DN4575_c0_g2_i1	305	137.238	26	18.0453
TRINITY_DN4575_c0_g1_i1	363	190.81	12	5.99029
TRINITY_DN4519_c0_g2_i1	695	519.836	43	7.87896
TRINITY_DN4519_c0_g1_i1	292	125.646	9	6.82277
TRINITY_DN4512_c0_g1_i1	255	94.4131	0	0
TRINITY_DN4578_c0_g1_i1	626	450.883	30	6.3376
TRINITY_DN4578_c0_g2_i1	766	590.801	42	6.77135
TRINITY_DN4561_c0_g2_i1	347	175.606	12	6.50893
TRINITY_DN4561_c0_g1_i1	819	643.801	195	28.8503
TRINITY_DN4536_c0_g1_i1	462	287.449	13	4.30774
TRINITY_DN4536_c0_g2_i1	254	93.628	5	5.08664
TRINITY_DN4591_c3_g1_i1	247	88.1512	6	6.48321
TRINITY_DN4591_c0_g1_i1	282	116.955	27.8891	22.7134
TRINITY_DN4591_c0_g1_i2	287	121.334	1.11093	0.872111
TRINITY_DN4591_c1_g1_i2	370	197.469	18	8.68241
TRINITY_DN4591_c1_g1_i1	242	84.2714	3.08591	3.48795
TRINITY_DN4591_c1_g1_i3	242	84.2714	5	5.65141
TRINITY_DN4591_c2_g1_i1	328	158.052	14	8.43716
TRINITY_DN4557_c0_g2_i1	257	96.0038	11	10.9137
TRINITY_DN4557_c0_g1_i1	255	94.4131	16	16.1419
TRINITY_DN4583_c0_g1_i1	1274	1098.8	150	13.0029
TRINITY_DN4524_c0_g1_i1	350	178.48	11	5.87043
TRINITY_DN4524_c1_g1_i1	310	141.751	10	6.71954
TRINITY_DN4588_c0_g1_i4	636	460.852	35.5347	7.34442
TRINITY_DN4588_c0_g1_i3	652	476.852	269.465	53.8253
TRINITY_DN4588_c0_g2_i1	344	172.895	51	28.0967
